# Luiza script for GLORIA demonstrator started at Mon Apr 8 11:52:34 CEST 2013 
# Input arguments are: 98.7427872 15.33213114 1.5 0 1 
# Job number is 000316 
#================================================
# HJD        Mag        MagError   
#                                  
2454456.84006496    7.39424  0.0685629 
2454483.75049753    6.90894  0.0785782 
2454483.75359974    6.91354  0.0775625 
2454483.75649237    6.89112  0.0656401 
2454483.75939733    6.90238  0.0771528 
2454483.76229078    6.90878  0.0725697 
2454483.76525297    6.89914  0.0627964 
2454483.76814673    6.90417  0.0734153 
2454483.7704619    6.92098  0.0842672 
2454483.77061197    6.90745   0.084437 
2454494.53080248    7.21076  0.0955183 
2454494.5321013    7.18777  0.0747397 
2454494.53522625    7.18745  0.0815675 
2454494.53711376    7.19301  0.0876443 
2454494.5372632    7.20666  0.0793057 
2454494.53755353    7.21018  0.0799715 
2454494.54045824    7.22312  0.0900531 
2454560.51911086    7.23459   0.094266 
2454560.52011728    7.22743  0.0901673 
2454560.52529087    7.21344  0.0867861 
2454560.52864728    7.20786  0.0876653 
2454560.53205    7.20491  0.0930195 
2454560.53540641    7.21479  0.0864594 
2454560.53876283    7.19197  0.0896759 
2454560.54211923    7.18538  0.0876717 
2456279.71348149    6.83806  0.0904293 
2456279.71699993    6.83394   0.077642 
2456279.72050661    6.84777  0.0920887 
2456279.7240016    6.82137  0.0837181 
2456279.72749667    6.83539  0.0867069 
2456294.81043867    6.48003   0.156991 
2456294.81756742    6.62091   0.157668 
2456294.82473134    6.62681   0.158769 
2456298.72255785    7.12699    0.10836 
2456298.72355043    7.15005   0.133123 
2456300.71351716    7.35831  0.0990011 
2456300.71449969    7.37968  0.0780694 
2456300.7179949    7.38319  0.0782112 
2456300.72151312    7.37606  0.0881654 
2456300.72500816    7.35646    0.05058 
2456301.71348853    7.01972  0.0744191 
2456301.71458581    7.05478  0.0849252 
2456301.7180926    7.07849   0.101213 
2456301.72167956    7.06795  0.0841793 
2456301.72517539    7.06568  0.0899334 
2456305.7133415    7.07211   0.108011 
2456305.71431711     7.0808  0.0841296 
2456305.71781215    7.08085  0.0817181 
2456305.72131875    7.08389   0.086483 
2456305.72495261     7.0918   0.102698 
2456306.71013312    7.18283  0.0895314 
2456306.71149672    7.14105   0.133676 
2456306.71522328    7.20655  0.0814466 
2456306.71872971    7.19812  0.0764579 
2456306.72223647    7.20935   0.096309 
2456306.72571963    7.21323  0.0916712 
2456307.71589909    7.35002  0.0849011 
2456307.71940576    7.36202    0.10255 
2456307.72291206     7.3774  0.0954796 
2456308.71266362    7.38226   0.102814 
2456308.71702779    7.35997  0.0872199 
2456308.7205113    7.37612  0.0911286 
2456308.72400597     7.3605   0.091659 
# End of luiza script Mon Apr  8 11:52:36 CEST 2013
